Date,series ,open,high,low,PREV. CLOSE ,ltp ,close,vwap ,52W H,52W L,VOLUME,VALUE ,No of trades 
2022-06-30,EQ,17499.05,17568.80,17234.20,17499.05,17301.05,17470.00,17446.47,20609.15,16000.00,102842.00,1794229727.20,31468.00
2022-06-29,EQ,17350.00,17525.00,17252.30,17403.90,17519.95,17499.05,17454.49,20609.15,16000.00,96972.00,1692596763.50,21788.00
2022-06-28,EQ,17300.00,17499.85,17051.00,17358.25,17395.00,17403.90,17295.16,20609.15,16000.00,52224.00,903222642.60,14265.00
2022-06-27,EQ,17350.00,17407.20,17182.70,17231.65,17400.00,17358.25,17320.46,20609.15,16000.00,63842.00,1105772789.70,14421.00
2022-06-24,EQ,16950.05,17250.00,16922.05,16976.30,17222.90,17231.65,17167.45,20609.15,16000.00,30380.00,521547107.90,8569.00
2022-06-23,EQ,16820.00,17044.95,16700.00,16775.15,16955.00,16976.30,16934.87,20609.15,16000.00,31675.00,536412150.75,10782.00
2022-06-22,EQ,16950.00,16950.00,16585.55,16971.80,16740.00,16775.15,16742.27,20609.15,16000.00,52364.00,876692295.05,16143.00
2022-06-21,EQ,16980.00,17200.00,16860.00,16967.10,16950.00,16971.80,17037.47,20609.15,16000.00,55631.00,947811491.70,13070.00
2022-06-20,EQ,16700.00,17022.95,16537.55,16642.40,16914.90,16967.10,16914.44,20609.15,16000.00,48902.00,827149981.75,14000.00
2022-06-17,EQ,16848.00,16854.95,16435.00,16874.00,16609.90,16642.40,16668.51,20609.15,16000.00,145619.00,2427252236.30,29555.00
2022-06-16,EQ,16949.00,16949.00,16614.95,16802.30,16887.00,16874.00,16796.95,20609.15,16000.00,80754.00,1356420788.65,18207.00
2022-06-15,EQ,17065.00,17065.00,16660.00,16871.45,16718.00,16802.30,16768.10,20609.15,16000.00,64753.00,1085784597.70,13086.00
2022-06-14,EQ,16856.50,17100.00,16760.00,16854.45,16874.95,16871.45,16903.56,20609.15,16000.00,66081.00,1117003919.55,12949.00
2022-06-13,EQ,16690.00,16969.80,16540.00,16774.90,16856.50,16854.45,16809.65,20609.15,16000.00,118464.00,1991338349.65,25341.00
2022-06-10,EQ,16661.00,16872.50,16536.80,16768.15,16767.00,16774.90,16751.00,20609.15,16000.00,44810.00,750612104.80,10749.00
2022-06-09,EQ,16680.20,16824.95,16485.05,16723.75,16780.00,16768.15,16707.39,20609.15,16000.00,28748.00,480304099.20,10398.00
2022-06-08,EQ,16630.50,16760.00,16446.55,16746.90,16750.10,16723.75,16652.03,20609.15,16000.00,81636.00,1359405075.65,16442.00
2022-06-07,EQ,16850.05,16999.55,16610.00,16996.90,16700.05,16746.90,16701.02,20609.15,16000.00,50762.00,847777399.15,15089.00
2022-06-06,EQ,17171.00,17236.80,16953.10,17171.00,17000.00,16996.90,17021.43,20609.15,16000.00,36001.00,612788413.10,10579.00
2022-06-03,EQ,17563.00,17567.35,17125.60,17393.80,17173.10,17171.00,17243.67,20609.15,16000.00,52686.00,908500051.20,14744.00
2022-06-02,EQ,17240.00,17476.35,17020.05,17241.55,17391.95,17393.80,17337.84,20609.15,16000.00,68899.00,1194560172.95,22291.00
2022-06-01,EQ,17580.00,17848.45,17180.10,17691.50,17250.00,17241.55,17435.31,20609.15,16000.00,58247.00,1015554228.50,17280.00
2022-05-31,EQ,17705.05,18157.60,17457.00,17706.90,17699.95,17691.50,17812.17,20609.15,16000.00,359537.00,6404132423.45,47685.00
2022-05-30,EQ,17700.00,17986.90,17634.85,17641.05,17770.05,17706.90,17834.52,20609.15,16000.00,52058.00,928429592.05,16380.00
2022-05-27,EQ,17750.00,17826.95,17487.20,17652.50,17625.65,17641.05,17625.87,20609.15,16000.00,42527.00,749575218.70,17223.00
2022-05-26,EQ,17435.00,17730.00,17321.45,17283.75,17680.00,17652.50,17530.96,20609.15,16000.00,105581.00,1850936268.60,34746.00
2022-05-25,EQ,17280.00,17586.00,17203.45,17187.10,17400.00,17283.75,17410.41,20609.15,16000.00,81501.00,1418965731.00,23612.00
